year	month	income	invest_tot	invest_tree	invest_saved	reserves	ads	costs	salaries	social	taxes	server	office	other	utilities	travel	CO2_offset	employees	trees
2018	Jan	734653	421370	566370	145000	NA	78636	131771	57415	41206	NA	19758	5694	4969	NA	2729	NA	29	1873037
2018	Feb	793636	411269	411269	0	NA	69557	NA	65776	44523	30000	22498	4685	37105	NA	4210	NA	32	3706716
2018	Mar	656185	302501	340501	38000	NA	80951	196291	62094	47948	50000	14962	5748	14130	NA	1409	NA	30	2083682
2018	Apr	722269	341582	526582	185000	NA	73892	219251	71766	53448	50000	17631	6230	8084	NA	11364	NA	33	1757131
2018	May	658546	300902	358902	58000	NA	78523	204650	85217	63413	NA	15829	4885	24982	NA	10324	NA	39	2332407
2018	Jun	679961	264005	397005	133000	NA	174453	184049	80088	67954	NA	23529	5443	3273	NA	3762	NA	40	4850375
2018	Jul	698901	319127	302127	17000	NA	106582	192100	76386	62682	NA	35688	5630	10045	NA	NA	NA	41	2201241
2018	Aug	676747	293421	416421	123000	NA	96294	214405	80325	65086	NA	26530	5066	28419	NA	8979	NA	39	1065225
2018	Sep	666163	301903	486903	185000	74179	98898	191183	81486	68405	NA	10687	4738	20445	NA	5422	NA	36	2501497
2018	Oct	686927	215012	268012	53000	NA	221219	200257	84001	69934	NA	22275	8587	11035	NA	3310	1115	39	1226638
2018	Nov	941239	440925	122925	318000	NA	173712	214751	89587	69378	NA	22545	5920	21086	NA	6235	NA	36	1111426
2018	Dec	1131918	533080	433080	1e+05	131417	174171	293250	99586	76199	70000	32004	4951	6530	NA	3980	NA	38	2247357
