year	month	date	donation	trees	organisation	donations_cum	trees_cum
2009	December	2009-12-31	2656.34	NA	wwf	2656.34	NA
2010	January	2010-01-31	5921.6	NA	wwf	8577.94	NA
2010	February	2010-02-28	7393.96	NA	wwf	15971.900000000001	NA
2010	March	2010-03-31	8911.76	NA	wwf	24883.66	NA
2010	April	2010-04-30	9135.11	NA	wwf	34018.770000000004	NA
2010	May	2010-05-31	10979.03	NA	wwf	44997.8	NA
2010	June	2010-06-30	10678.19	NA	wwf	55675.990000000005	NA
2010	July	2010-07-31	12090.41	NA	wwf	67766.40000000001	NA
2010	August	2010-08-31	11523.77	NA	wwf	79290.17	NA
2010	September	2010-09-30	12474.72	NA	wwf	91764.89	NA
2010	October	2010-10-31	13300.17	NA	wwf	105065.06	NA
2010	November	2010-11-30	15354.96	NA	wwf	120420.02	NA
2010	December	2010-12-31	16316.85	NA	wwf	136736.87	NA
2011	January	2011-01-31	25297.54	NA	wwf	162034.41	NA
2011	February	2011-02-28	18697.32	NA	wwf	180731.73	NA
2011	March	2011-03-31	20292.95	NA	wwf	201024.68	NA
2011	April	2011-04-30	17430.41	NA	wwf	218455.09	NA
2011	May	2011-05-31	29524.77	NA	wwf	247979.86000000002	NA
2011	June	2011-06-30	20144.9	NA	wwf	268124.76	NA
2011	July	2011-07-31	36439.22	NA	wwf	304563.98	NA
2011	August	2011-08-31	45790.29	NA	wwf	350354.27	NA
2011	September	2011-09-30	36218.97	NA	wwf	386573.24	NA
2011	October	2011-10-31	43651.22	NA	wwf	430224.46	NA
2011	November	2011-11-30	53010.93	NA	wwf	483235.39	NA
2011	December	2011-12-31	60960.97	NA	wwf	544196.36	NA
2012	January	2012-01-31	78326.34	NA	wwf	622522.7	NA
2012	February	2012-02-29	57728.46	NA	wwf	680251.16	NA
2012	March	2012-03-31	58359.08	NA	wwf	738610.24	NA
2012	April	2012-04-30	62000.34	NA	wwf	800610.58	NA
2012	May	2012-05-31	58269.58	NA	wwf	858880.16	NA
2012	June	2012-06-30	56091.67	NA	wwf	914971.83	NA
2012	July	2012-07-31	55352.56	NA	wwf	970324.39	NA
2012	August	2012-08-31	54551.61	NA	wwf	1024876	NA
2012	September	2012-09-30	52727.94	NA	wwf	1077603.94	NA
2012	October	2012-10-31	50114.48	NA	wwf	1127718.42	NA
2012	November	2012-11-30	20000	NA	wwf	1147718.42	NA
2012	December	2012-12-31	20000	NA	wwf	1167718.42	NA
2013	January	2013-01-31	20000	NA	wwf	1187718.42	NA
2013	February	2013-02-28	20000	NA	wwf	1207718.42	NA
2013	March	2013-03-31	32235.25	NA	wwf	1239953.67	NA
2013	April	2013-04-30	NA	NA	NA	NA	NA
2013	May	2013-05-31	NA	NA	NA	NA	NA
2013	June	2013-06-30	NA	NA	NA	NA	NA
2013	July	2013-07-31	440	NA	nature conservancy	1240393.67	NA
2013	August	2013-08-31	9740.9	NA	nature conservancy	1250134.57	NA
2013	September	2013-09-30	52170.9	NA	nature conservancy	1302305.47	NA
2013	October	2013-10-31	53859.14	NA	nature conservancy	1356164.61	NA
2013	November	2013-11-30	58059	NA	nature conservancy	1414223.61	NA
2013	December	2013-12-31	62106	NA	nature conservancy	1476329.61	NA
2014	January	2014-01-31	22044	33764	nature conservancy	1498373.61	33764
2014	February	2014-02-28	44089	54866	nature conservancy	1542462.61	88630
2014	March	2014-03-31	64779	80058	nature conservancy	1607241.61	168688
2014	April	2014-04-30	82283	101071	nature conservancy	1689524.61	269759
2014	May	2014-05-31	73065	81582	nature conservancy	1762589.61	351341
2014	June	2014-06-30	54588	60952	nature conservancy	1817177.61	412293
2014	July	2014-07-31	69849	77992	nature conservancy	1887026.61	490285
2014	August	2014-08-31	58063	64832	nature conservancy	1945089.61	555117
2014	September	2014-09-30	48409	55030	nature conservancy	1993498.61	610147
2014	October	2014-10-31	56000	221429	various	2049498.61	831576
2014	November	2014-11-30	36000	142857	various	2085498.61	974433
2014	December	2014-12-31	40000	142857	various	2125498.61	1117290
2015	January	2015-01-31	62500	223214	various	2187998.61	1340504
2015	February	2015-02-28	67000	239286	various	2254998.61	1579790
2015	March	2015-03-31	72000	257143	various	2326998.61	1836933
2015	April	2015-04-30	50000	178571	various	2376998.61	2015504
2015	May	2015-05-31	50150	179107	various	2427148.61	2194611
2015	June	2015-06-30	32220	115071	various	2459368.61	2309682
2015	July	2015-07-31	44750	159821	various	2504118.61	2469503
2015	August	2015-08-31	47250	168750	various	2551368.61	2638253
2015	September	2015-09-30	56500	201786	various	2607868.61	2840039
2015	October	2015-10-31	63700	227500	various	2671568.61	3067539
2015	November	2015-11-30	47450	169464	various	2719018.61	3237003
2015	December	2015-12-31	62450	223036	various	2781468.61	3460039
2016	January	2016-01-31	72350	258393	various	2853818.61	3718432
2016	February	2016-02-29	65500	232143	various	2919318.61	3950575
2016	March	2016-03-31	83750	299107	various	3003068.61	4249682
2016	April	2016-04-30	68000	178571	various	3071068.61	4428253
2016	May	2016-05-31	65000	232142	various	3136068.61	4660395
2016	June	2016-06-30	54000	192857	various	3190068.61	4853252
2016	July	2016-07-31	74000	214285	various	3264068.61	5067537
2016	August	2016-08-31	65000	232142	various	3329068.61	5299679
2016	September	2016-09-30	84991	355281	various	3414059.61	5654960
2016	October	2016-10-31	102900	762814	various	3516959.61	6417774
2016	November	2016-11-30	140800	372849	various	3657759.61	6790623
2016	December	2016-12-31	137000	341379	various	3794759.61	7132002
2017	January	2017-01-31	130000	989146	various	3924759.61	8121148
2017	February	2017-02-28	145000	690561	various	4069759.61	8811709
2017	March	2017-03-31	270551	993514	various	4340310.61	9805223
2017	April	2017-04-30	330198	2670917	various	4670508.61	12476140
2017	May	2017-05-31	441197	1874712	various	5111705.61	14350852
2017	June	2017-06-30	446075	929618	various	5557780.61	15280470
2017	July	2017-07-31	449815	1765067	various	6007595.61	17045537
2017	August	2017-08-31	388018	1375591	various	6395613.61	18421128
2017	September	2017-09-30	299621	2450511	various	6695234.61	20871639
2017	October	2017-10-31	303949	2062807	various	6999183.61	22934446
2017	November	2017-11-30	377013	2508805	various	7376196.61	25443251
2017	December	2017-12-31	470215	1871542	various	7846411.61	27314793
2018	January	2018-01-31	421370	1873037	various	8267781.61	29187830
2018	February	2018-02-28	411269	3706716	various	8679050.61	32894546
2018	March	2018-03-31	302501	2083682	various	8981551.61	34978228
2018	April	2018-04-30	341582	1757131	various	9323133.61	36735359
2018	May	2018-05-31	300902	2332407	various	9624035.61	39067766
2018	June	2018-06-30	264005	4850375	various	9888040.61	43918141
2018	July	2018-07-31	319127	2201241	various	10207167.61	46119382
2018	August	2018-08-31	293421	1065225	various	10500588.61	47184607
2018	September	2018-09-30	301903	2501497	various	10802491.61	49686104
2018	October	2018-10-31	215012	1226638	various	11017503.61	50912742
2018	November	2018-11-30	440925	1111426	various	11458428.61	52024168
2018	December	2018-12-31	533080	2247357	various	11991508.61	54271525
2019	January	2019-01-31	438846	2047139	various	12430354.61	56318664
2019	February	2019-02-28	482967	1594807	various	12913321.61	57913471
